module(equipment),localtime,operation,voltageR,voltageS,voltageT,voltageRS,voltageST,voltageTR,currentR,currentS,currentT,activePower,powerFactorR,powerFactorS,powerFactorT,reactivePowerLagging,accumActiveEnergy
15(예비건조기),2024-12-01 00:00:00,1.0,214.89206944444445,214.99618055555555,215.12716666666665,372.2832638888889,372.4867361111111,372.39665277777783,17.266513888888888,17.443375,17.822958333333336,3011.6529027777774,92.48334722222222,92.04156944444443,92.08881944444444,608.191013888889,4097517.572222222
15(예비건조기),2024-12-01 01:00:00,1.0,214.8681388888889,214.99493055555556,215.12594444444443,372.26143055555553,372.48441666666673,372.37505555555555,17.919277777777776,17.337972222222223,16.831569444444444,2985.7858888888886,91.76963888888889,91.77756944444445,91.73265277777777,607.5774027777777,4100502.111111111
15(예비건조기),2024-12-01 02:00:00,1.0,214.99256944444443,214.83566666666667,214.74858333333336,372.2313194444444,372.02000000000004,372.1559027777778,17.855,17.754833333333334,17.16433333333333,3024.2529444444444,92.19745833333333,92.38780555555556,92.27390277777779,617.1867777777777,4103514.6791666667
15(예비건조기),2024-12-01 03:00:00,1.0,214.9756111111111,215.0485138888889,215.00315277777776,372.4008333333333,372.42484722222224,372.3617222222222,17.63138888888889,17.219930555555557,17.77576388888889,3017.59075,92.23115277777777,92.44058333333334,92.20305555555555,614.9511527777778,4106522.0555555555
15(예비건조기),2024-12-01 04:00:00,1.0,214.96751388888887,214.88486111111112,214.9711527777778,372.25241666666665,372.2554166666667,372.3268472222222,17.254875000000002,17.900555555555556,17.58463888888889,3022.6359861111114,92.25727777777779,92.1413888888889,92.33938888888889,596.1182222222222,4109549.9819444446
15(예비건조기),2024-12-01 05:00:00,1.0,214.92347222222222,214.91752777777776,214.97297222222224,372.2421388888889,372.2849166666667,372.29016666666666,17.409430555555556,17.892041666666668,17.46708333333333,3024.325069444444,92.25065277777777,92.35023611111112,92.1138611111111,605.7935,4112575.504166667
15(예비건조기),2024-12-01 06:00:00,1.0,214.9220138888889,215.00134722222222,215.0291388888889,372.31386111111107,372.4062222222222,372.33772222222217,17.806013888888888,17.696513888888887,17.193805555555553,3020.9704722222227,92.28795833333334,92.11862500000001,91.99074999999999,602.9439583333334,4115587.248611111
15(예비건조기),2024-12-01 07:00:00,1.0,215.06623611111112,214.97,214.98831944444444,372.41122222222225,372.34370833333327,372.4269583333333,17.556958333333334,17.945375,16.91570833333333,3005.523388888889,92.58820833333333,92.20922222222222,92.32566666666666,608.6741944444444,4118616.015277778
15(예비건조기),2024-12-01 08:00:00,1.0,214.97934722222223,215.02951388888889,214.83965277777776,372.38783333333333,372.2667222222222,372.2232222222222,17.676861111111112,17.80913888888889,17.49663888888889,3036.9865416666667,92.05926388888889,92.18816666666666,91.99270833333334,602.5514027777778,4121635.05
15(예비건조기),2024-12-01 09:00:00,1.0,214.932125,214.8964722222222,215.04976388888886,372.2313472222222,372.3333333333333,372.3640833333333,17.14547222222222,17.545638888888888,17.317194444444443,2980.410111111111,92.43275,92.53566666666666,92.393875,598.1670694444445,4124643.513888889
15(예비건조기),2024-12-01 10:00:00,1.0,214.86516666666668,215.12093055555556,215.10652777777779,372.36784722222217,372.577,372.3554722222222,17.247555555555554,17.37788888888889,17.135569444444446,2968.840486111111,92.06693055555556,92.28866666666666,92.31036111111112,587.3693055555556,4127609.5805555554
15(예비건조기),2024-12-01 11:00:00,1.0,215.0079722222222,214.95176388888888,214.92094444444442,372.3450277777778,372.26954166666667,372.31856944444445,17.408180555555553,17.48773611111111,17.835055555555556,3022.8858333333333,92.36116666666666,92.48919444444445,92.3274861111111,596.1018611111111,4130617.248611111
15(예비건조기),2024-12-01 12:00:00,1.0,215.2032638888889,214.97302777777776,214.75595833333335,372.53291666666667,372.14554166666665,372.3448333333334,17.59738888888889,17.584833333333332,17.484291666666667,3019.103361111111,92.02969444444444,92.26875,92.34855555555556,597.3440833333333,4133632.0569444443
